station_name,lat,lon,altitude
52 - Plaza de Santa Ana,40.4144226,-3.7007164,661.0
57 - Santa Cruz del Marcenado,40.4295658,-3.7126299,672.0
186 - General Pardiñas,40.4290555,-3.6782777,688.0
107 - Columela,40.4215246,-3.6884369,673.0
132 - Glorieta de los Cuatro Caminos,40.4463667,-3.7036675,706.0
41 - Antón Martín,40.4122047,-3.6991147,661.0
156 - Sor Ángela de la Cruz,40.4592351,-3.691533,718.0
6 - Colegio Arquitectos,40.424148,-3.698447,675.0
89 - Conde Peñalver,40.4272582,-3.6752024,695.0
53 - Plaza de Lavapiés,40.4083061,-3.7007111,635.0
92 - Claudio Coello,40.4262945,-3.6865463,678.0
115 - Ferraz,40.4253944,-3.7170448,659.0
144 - Juan Bravo 50,40.4323655,-3.6758555,690.0
196 - Prosperidad,40.4441388,-3.6751388,713.0
228 - San Delfín,40.39440607959559,-3.7080429728445563,591.0
29 - Marqués de Cubas,40.4162619,-3.6957355,657.0
129 - José Abascal,40.4383865,-3.6982353,704.0
61 - Narváez,40.4213983,-3.6752045,695.0
116a - Plaza de España A,40.423668,-3.713053,648.0
55 - Plaza de San Ildefonso,40.4239757,-3.7020842,679.0
223 - Ermita Santo,40.406837862773465,-3.7244893989507686,589.0
213 - Glorieta de Cádiz,40.38895,-3.70017,590.0
142 - Castellana 42,40.4334087,-3.6879154,664.0
151 - Orense 12,40.4489101,-3.6952943,704.0
204 - Cuatro Caminos 2,40.4476666,-3.7041666,714.0
63 - Ibiza,40.4179237,-3.6708959,679.0
200 - Quevedo,40.4336944,-3.7046666,686.0
168 - Batalla del Salado,40.4044722,-3.6959166,619.0
26 - Plaza de las Salesas,40.423855,-3.694475,669.0
85 - Puerta de Madrid,40.421501,-3.680008,688.0
112 - Paseo de Moret,40.4325991,-3.7246532,631.0
260 - Facultad Biología,40.4483322,-3.7272945,645.0
110 - Moncloa,40.4347895,-3.7200845,656.0
60 - Plaza de la Independencia,40.419752,-3.688398,660.0
184 - Marqués de Zafra,40.426,-3.6653055,685.0
76 - Puerta de Mariano de Cavia,40.4071304,-3.6751352,641.0
216 - Puerta del Ángel,40.413764,-3.728318,604.0
179 - Puente de Vallecas,40.3979722,-3.66925,602.0
167 - Segovia 45,40.413736,-3.717487,600.0
113 - Pintor Rosales,40.427657,-3.7205129,652.0
48 - Embajadores 2,40.4056107,-3.7022591,623.0
227 - Concordia,40.39382977920336,-3.6659362429356372,614.0
5 - Fuencarral,40.42852,-3.70205,675.0
128 - Cea Bermúdez,40.438994,-3.7154329,689.0
175 - Jaime el Conquistador,40.3962222,-3.6983055,585.0
