Month,Day,Hour,Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (W/m2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,1.1,2.1,0.2,0,1.1,0,0
1,1,1,0,0,-1.4,1,0.2,0,-1.4,0,0
1,1,2,0,0,-1.7,1,0.2,0,-1.7,0,0
1,1,3,0,0,-1.7,1,0.2,0,-1.7,0,0
1,1,4,0,0,-1.2,1.1,0.2,0,-1.2,0,0
1,1,5,0,0,-1.4,1.3,0.2,0,-1.4,0,0
1,1,6,0,0,-1.7,1.3,0.2,0,-1.7,0,0
1,1,7,0,0,-1.7,1.2,0.2,0,-1.7,0,0
1,1,8,0,0,-1.6,1,0.2,0,-1.6,0,0
1,1,9,0,19,-0.9,1.2,0.2,17.654,-0.391,2.888,2.382
1,1,10,0,8,0.2,1,0.2,7.426,0.427,1.206,0.763
1,1,11,0,57,1.8,0.8,0.2,53.081,3.507,9.201,8.456
1,1,12,0,99,3.3,0.7,0.2,93.654,6.392,16.321,15.308
1,1,13,0,140,4.4,1,0.2,135.946,8.545,23.773,22.479
1,1,14,1,154,5,1.4,0.2,152.952,9.237,26.852,25.442
1,1,15,1,141,4.9,1.5,0.2,142.685,8.769,25.161,23.814
1,1,16,2,96,3.4,1.1,0.2,99.946,6.376,17.523,16.465
1,1,17,478,34,0.9,0.8,0.2,167.847,5.627,20.385,19.219
1,1,18,0,0,0,0.7,0.2,0,0,0,0
1,1,19,0,0,-0.2,0.3,0.2,0,-0.2,0,0
1,1,20,0,0,-0.6,0.1,0.2,0,-0.6,0,0
1,1,21,0,0,-1.3,0.4,0.2,0,-1.3,0,0
1,1,22,0,0,-1.9,0.7,0.2,0,-1.9,0,0
1,1,23,0,0,-2.4,0.8,0.2,0,-2.4,0,0
1,2,0,0,0,-2.8,1,0.2,0,-2.8,0,0
1,2,1,0,0,-2.5,1.1,0.2,0,-2.5,0,0
1,2,2,0,0,-1.8,1.1,0.2,0,-1.8,0,0
1,2,3,0,0,-1.3,1.2,0.2,0,-1.3,0,0
1,2,4,0,0,-1,1.2,0.2,0,-1,0,0
1,2,5,0,0,-0.8,1.2,0.2,0,-0.8,0,0
1,2,6,0,0,-0.6,1.1,0.2,0,-0.6,0,0
1,2,7,0,0,-0.5,1,0.2,0,-0.5,0,0
1,2,8,0,0,-0.3,1.1,0.2,0,-0.3,0,0
1,2,9,0,12,0.4,1.5,0.2,11.139,0.699,1.779,1.314
1,2,10,0,6,1.4,1.4,0.2,5.569,1.554,0.888,0.457
1,2,11,28,158,2.4,1.4,0.2,176.873,7.307,31.599,30.01
1,2,12,70,217,3.5,1.4,0.2,284.978,11.402,50.683,48.374
1,2,13,2,103,4.1,1.4,0.2,98.976,6.84,17.237,16.19
1,2,14,0,138,4.7,1.5,0.2,134.75,8.348,23.632,22.343
1,2,15,61,183,5,1.5,0.2,239.17,11.492,42.572,40.57
1,2,16,26,117,4.3,1.2,0.2,137.047,8.283,24.128,22.821
1,2,17,0,8,2.5,0.8,0.2,7.424,2.722,0.934,0.502
1,2,18,0,0,1.7,0.8,0.2,0,1.7,0,0
1,2,19,0,0,1.5,0.8,0.2,0,1.5,0,0
1,2,20,0,0,1.5,0.7,0.2,0,1.5,0,0
1,2,21,0,0,1.6,0.7,0.2,0,1.6,0,0
1,2,22,0,0,1.4,0.7,0.2,0,1.4,0,0
1,2,23,0,0,1.3,0.7,0.2,0,1.3,0,0
1,3,0,0,0,1.2,0.6,0.2,0,1.2,0,0
1,3,1,0,0,1,0.4,0.2,0,1,0,0
1,3,2,0,0,0.8,0.5,0.2,0,0.8,0,0
1,3,3,0,0,0.9,0.6,0.2,0,0.9,0,0
1,3,4,0,0,1,0.5,0.2,0,1,0,0
1,3,5,0,0,1.1,0.5,0.2,0,1.1,0,0
1,3,6,0,0,1.1,0.4,0.2,0,1.1,0,0
1,3,7,0,0,1.1,0.4,0.2,0,1.1,0,0
1,3,8,0,0,1.2,0.4,0.2,0,1.2,0,0
1,3,9,0,12,2.1,0.4,0.2,11.139,2.498,1.764,1.3
1,3,10,6,83,3.5,0.5,0.2,83.596,6.426,14.626,13.677
1,3,11,22,192,4.8,0.3,0.2,212.84,12.707,37.425,35.617
1,3,12,17,214,6.2,0.9,0.2,231.15,13.436,40.433,38.51
1,3,13,22,223,7.6,1.3,0.2,244.336,14.526,42.593,40.589
1,3,14,68,252,8.9,1.6,0.2,329.218,17.627,57.416,54.853
1,3,15,96,213,9.2,1.5,0.2,300.263,17.352,52.638,50.255
1,3,16,667,56,8,1,0.2,377.706,19.546,65.797,62.918
1,3,17,0,11,5.5,1,0.2,10.214,5.793,1.328,0.881
1,3,18,0,0,4.1,1.1,0.2,0,4.1,0,0
1,3,19,0,0,3.5,1.1,0.2,0,3.5,0,0
1,3,20,0,0,3.2,1.1,0.2,0,3.2,0,0
1,3,21,0,0,3.1,1.1,0.2,0,3.1,0,0
1,3,22,0,0,3.1,1.1,0.2,0,3.1,0,0
1,3,23,0,0,2.9,1.1,0.2,0,2.9,0,0
1,4,0,0,0,2.6,1.2,0.2,0,2.6,0,0
1,4,1,0,0,2.2,1.2,0.2,0,2.2,0,0
1,4,2,0,0,1.9,1.3,0.2,0,1.9,0,0
1,4,3,0,0,1.8,1.3,0.2,0,1.8,0,0
1,4,4,0,0,2,1.2,0.2,0,2,0,0
1,4,5,0,0,2.4,1.2,0.2,0,2.4,0,0
1,4,6,0,0,2.2,1.3,0.2,0,2.2,0,0
1,4,7,0,0,2,1.4,0.2,0,2,0,0
1,4,8,0,0,2,1.3,0.2,0,2,0,0
1,4,9,0,21,2.9,1.3,0.2,19.517,3.449,3.154,2.637
1,4,10,616,61,4.4,1.5,0.2,396.168,15.2,71.501,68.407
1,4,11,750,74,6.9,1.8,0.2,575.202,21.589,101.846,97.608
1,4,12,827,75,9.4,1.9,0.2,690.317,26.647,119.539,114.634
1,4,13,67,266,11.3,2,0.2,344.633,19.69,59.54,56.897
1,4,14,854,71,12.5,2.1,0.2,687.623,29.004,118.173,113.319
1,4,15,812,65,12.7,2,0.2,572.593,26.738,99.654,95.499
1,4,16,706,54,11.4,1.4,0.2,391.565,22.27,67.633,64.685
1,4,17,467,34,8.6,1.2,0.2,170.892,13.145,22.48,21.235
1,4,18,0,0,6.4,1.4,0.2,0,6.4,0,0
1,4,19,0,0,5.1,1.5,0.2,0,5.1,0,0
1,4,20,0,0,4.2,1.5,0.2,0,4.2,0,0
1,4,21,0,0,3.5,1.5,0.2,0,3.5,0,0
1,4,22,0,0,2.9,1.5,0.2,0,2.9,0,0
1,4,23,0,0,2.5,1.5,0.2,0,2.5,0,0
1,5,0,0,0,2.3,1.5,0.2,0,2.3,0,0
1,5,1,0,0,2.7,1.9,0.2,0,2.7,0,0
1,5,2,0,0,3.2,2.6,0.2,0,3.2,0,0
1,5,3,0,0,3.1,2.7,0.2,0,3.1,0,0
1,5,4,0,0,3,2.7,0.2,0,3,0,0
1,5,5,0,0,3.1,2.6,0.2,0,3.1,0,0
1,5,6,0,0,3,2.6,0.2,0,3,0,0
1,5,7,0,0,2.8,2.6,0.2,0,2.8,0,0
1,5,8,0,0,2.6,2.6,0.2,0,2.6,0,0
1,5,9,386,31,3.3,2.9,0.2,174.299,6.815,28.793,27.309
1,5,10,0,7,5,3.2,0.2,6.497,5.127,1.026,0.59
1,5,11,0,69,7.6,3.1,0.2,64.295,8.881,10.983,10.172
1,5,12,4,180,9.9,2.9,0.2,182.742,13.661,31.675,30.083
1,5,13,78,276,11.6,2.8,0.2,365.531,19.259,63.348,60.562
1,5,14,918,62,12.5,2.6,0.2,717.831,28.177,123.815,118.748
1,5,15,877,57,12.4,2.2,0.2,599.972,26.54,104.594,100.252
1,5,16,784,48,10.6,1.4,0.2,422.406,22.331,73.133,69.977
1,5,17,567,30,7.1,1.3,0.2,192.287,12.125,25.93,24.555
1,5,18,0,0,4.9,1.5,0.2,0,4.9,0,0
1,5,19,0,0,3.7,1.6,0.2,0,3.7,0,0
1,5,20,0,0,2.8,1.7,0.2,0,2.8,0,0
1,5,21,0,0,2,1.7,0.2,0,2,0,0
1,5,22,0,0,1.3,1.7,0.2,0,1.3,0,0
1,5,23,0,0,0.7,1.7,0.2,0,0.7,0,0
1,6,0,0,0,0.2,1.7,0.2,0,0.2,0,0
1,6,1,0,0,-0.3,1.7,0.2,0,-0.3,0,0
1,6,2,0,0,-0.8,1.8,0.2,0,-0.8,0,0
1,6,3,0,0,-1.2,2,0.2,0,-1.2,0,0
1,6,4,0,0,-1.7,2.2,0.2,0,-1.7,0,0
1,6,5,0,0,-2.1,2.4,0.2,0,-2.1,0,0
1,6,6,0,0,-2.5,2.4,0.2,0,-2.5,0,0
1,6,7,0,0,-2.8,2.2,0.2,0,-2.8,0,0
1,6,8,0,0,-2.4,2.3,0.2,0,-2.4,0,0
1,6,9,0,35,0,2.7,0.2,33.211,0.703,5.552,4.945
1,6,10,790,47,3,2.8,0.2,465.727,12.825,85.13,81.523
1,6,11,898,56,5.8,2.6,0.2,644.649,19.89,115.064,110.327
1,6,12,947,62,8.2,2.5,0.2,756.888,25.029,131.932,126.559
1,6,13,963,63,9.7,2.3,0.2,789.177,27.91,135.876,130.355
1,6,14,941,62,10.5,2.1,0.2,735.533,28.156,126.855,121.674
1,6,15,901,57,10.3,1.6,0.2,616.279,26.743,107.362,102.916
1,6,16,812,48,8.8,0.9,0.2,437.08,22.522,75.744,72.49
1,6,17,596,31,6.6,0.9,0.2,202.879,12.5,27.973,26.52
1,6,18,0,0,5.4,0.9,0.2,0,5.4,0,0
1,6,19,0,0,4.6,1,0.2,0,4.6,0,0
1,6,20,0,0,3.7,1.2,0.2,0,3.7,0,0
1,6,21,0,0,2.5,1.3,0.2,0,2.5,0,0
1,6,22,0,0,1.6,1.3,0.2,0,1.6,0,0
1,6,23,0,0,0.8,1.4,0.2,0,0.8,0,0
1,7,0,0,0,0.3,1.3,0.2,0,0.3,0,0
1,7,1,0,0,-0.1,1.3,0.2,0,-0.1,0,0
1,7,2,0,0,-0.3,1.3,0.2,0,-0.3,0,0
1,7,3,0,0,-0.5,1.2,0.2,0,-0.5,0,0
1,7,4,0,0,-0.7,1.2,0.2,0,-0.7,0,0
1,7,5,0,0,-0.9,1.1,0.2,0,-0.9,0,0
1,7,6,0,0,-1.2,1.1,0.2,0,-1.2,0,0
1,7,7,0,0,-1.1,1.1,0.2,0,-1.1,0,0
1,7,8,0,0,-0.2,1.2,0.2,0,-0.2,0,0
1,7,9,0,23,1.9,1.5,0.2,21.382,2.475,3.486,2.957
1,7,10,737,51,3.8,1.3,0.2,443.603,16.467,79.938,76.526
1,7,11,853,61,5.5,0.9,0.2,626.962,25.266,109.62,105.089
1,7,12,906,67,7.7,0.5,0.2,734.606,33.523,123.93,118.859
1,7,13,924,69,9.3,0.1,0.2,769.169,39.884,126.362,121.199
1,7,14,914,67,10.1,0.1,0.2,724.516,38.926,119.776,114.862
1,7,15,870,62,10.1,0.2,0.2,609.467,33.605,103.334,99.04
1,7,16,774,52,9.1,0.3,0.2,425.924,24.951,73.167,70.01
1,7,17,565,34,7,0.5,0.2,197.775,13.469,27.729,26.286
1,7,18,0,0,5.4,0.6,0.2,0,5.4,0,0
1,7,19,0,0,4.6,0.7,0.2,0,4.6,0,0
1,7,20,0,0,3.6,0.9,0.2,0,3.6,0,0
1,7,21,0,0,2.3,1.2,0.2,0,2.3,0,0
1,7,22,0,0,0.9,1.3,0.2,0,0.9,0,0
1,7,23,0,0,-0.4,1.4,0.2,0,-0.4,0,0
1,8,0,0,0,-1.3,1.4,0.2,0,-1.3,0,0
1,8,1,0,0,-1.9,1.4,0.2,0,-1.9,0,0
1,8,2,0,0,-2.2,1.4,0.2,0,-2.2,0,0
1,8,3,0,0,-2.4,1.4,0.2,0,-2.4,0,0
1,8,4,0,0,-2.4,1.5,0.2,0,-2.4,0,0
1,8,5,0,0,-2.4,1.5,0.2,0,-2.4,0,0
1,8,6,0,0,-2.4,1.6,0.2,0,-2.4,0,0
1,8,7,0,0,-2.3,1.6,0.2,0,-2.3,0,0
1,8,8,0,0,-1.6,1.6,0.2,0,-1.6,0,0
1,8,9,0,27,1.3,2,0.2,25.114,1.907,4.133,3.58
1,8,10,761,46,4.5,2.5,0.2,450.066,14.519,81.736,78.256
1,8,11,870,56,7.1,2.1,0.2,627.896,22.184,111.096,106.509
1,8,12,921,61,9.4,1.8,0.2,739.103,28.258,127.254,122.057
1,8,13,936,61,11.3,1.9,0.2,769.774,30.529,131.204,125.858
1,8,14,921,59,12.2,1.9,0.2,721.485,30.233,123.424,118.372
1,8,15,876,55,12.1,1.5,0.2,602.672,28.541,104.239,99.911
1,8,16,795,44,10.3,0.9,0.2,426.149,23.687,73.657,70.482
1,8,17,593,29,7.4,1.3,0.2,205.657,12.886,29.367,27.862
1,8,18,0,0,4.9,1.5,0.2,0,4.9,0,0
1,8,19,0,0,3.3,1.6,0.2,0,3.3,0,0
1,8,20,0,0,2.2,1.7,0.2,0,2.2,0,0
1,8,21,0,0,1.2,1.7,0.2,0,1.2,0,0
1,8,22,0,0,0.5,1.8,0.2,0,0.5,0,0
1,8,23,0,0,0,2,0.2,0,0,0,0
1,9,0,0,0,-0.3,2.2,0.2,0,-0.3,0,0
1,9,1,0,0,-0.5,2.5,0.2,0,-0.5,0,0
1,9,2,0,0,-0.7,2.7,0.2,0,-0.7,0,0
1,9,3,0,0,-0.6,3.1,0.2,0,-0.6,0,0
1,9,4,0,0,-0.6,3.2,0.2,0,-0.6,0,0
1,9,5,0,0,-0.9,3,0.2,0,-0.9,0,0
1,9,6,0,0,-1.4,2.6,0.2,0,-1.4,0,0
1,9,7,0,0,-1.9,2.2,0.2,0,-1.9,0,0
1,9,8,0,0,-1.2,2.2,0.2,0,-1.2,0,0
1,9,9,0,23,1.6,2.8,0.2,21.381,2.045,3.495,2.966
1,9,10,766,45,4.3,3,0.2,448.346,13.441,81.766,78.285
1,9,11,874,55,6.9,2.9,0.2,629.874,19.959,112.364,107.729
1,9,12,923,60,9.1,2.7,0.2,740.445,24.978,129.058,123.793
1,9,13,942,60,10.5,2.5,0.2,774.547,27.714,133.419,127.99
1,9,14,931,60,11.3,2.2,0.2,731.604,28.518,125.948,120.801
1,9,15,882,56,11.2,1.8,0.2,609.559,26.776,106.131,101.731
1,9,16,788,48,9.5,1.3,0.2,432.003,21.794,75.293,72.056
1,9,17,575,32,6.2,1.3,0.2,204.134,11.675,29.752,28.233
1,9,18,0,0,4,1.4,0.2,0,4,0,0
1,9,19,0,0,2.7,1.6,0.2,0,2.7,0,0
1,9,20,0,0,1.7,1.6,0.2,0,1.7,0,0
1,9,21,0,0,1.1,1.6,0.2,0,1.1,0,0
1,9,22,0,0,0.8,1.7,0.2,0,0.8,0,0
1,9,23,0,0,0.9,1.8,0.2,0,0.9,0,0
1,10,0,0,0,0.9,1.8,0.2,0,0.9,0,0
1,10,1,0,0,1.1,1.8,0.2,0,1.1,0,0
1,10,2,0,0,1.5,1.8,0.2,0,1.5,0,0
1,10,3,0,0,1.8,1.7,0.2,0,1.8,0,0
1,10,4,0,0,1.6,1.6,0.2,0,1.6,0,0
1,10,5,0,0,1.5,1.5,0.2,0,1.5,0,0
1,10,6,0,0,1.5,1.5,0.2,0,1.5,0,0
1,10,7,0,0,1.6,1.5,0.2,0,1.6,0,0
1,10,8,0,0,1.8,1.7,0.2,0,1.8,0,0
1,10,9,0,8,2.9,2.1,0.2,7.422,3.076,1.154,0.713
1,10,10,22,107,4.5,2.6,0.2,118.171,7.07,20.913,19.727
1,10,11,72,170,6.1,2.9,0.2,227.108,10.786,40.431,38.509
